calculate_score_torchB,lsar_score_torchB,calculate_scores,cs_device,cs_assign_score,cs_dataload,cs_save,hungarian,other_lsar,relax_labeling,loop_overhead
0.1156232357025146,0.1923491954803466,37.953218936920166,0.0,0.0,0.0,0.0,0.0228826999664306,0.0448684692382812,0.1008136272430419,
0.1336567401885986,0.1826801300048828,35.11718559265137,0.0,0.0,0.0,0.0,0.0209150314331054,0.0430300235748291,0.0966975688934326,
0.0910251140594482,0.1821043491363525,37.89482045173645,0.0,0.0,0.0,0.0,0.0204367637634277,0.0425162315368652,0.097125768661499,37.61331558227539
0.1330499649047851,0.1761415004730224,40.108192920684814,0.0,0.0,0.0,0.0,0.0208516120910644,0.0421271324157714,0.0965173244476318,39.779921531677246
1.7758595943450928,6.916670322418213,8.998095035552979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2965993881225586
1.3158085346221924,1.5485639572143557,3.14564061164856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2749922275543213
28.26351308822632,91.71984553337096,2126.341019392013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.7406249046328
1.765162229537964,2.600139617919922,6.011265277862549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6372463703155518
1.7829992771148682,2.738966226577759,6.2392754554748535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7087478637695312
28.114189863204956,76.53359818458557,2650.6830747127533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2541.619166612625
21.681362867355347,47.59415578842163,2774.2139625549316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2699.06405377388
22.73013997077942,52.13714575767517,2840.2518122196198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2757.529324054718
